"symbol","exchange","shortname"
"AFSIM","OEM","AmTrust Financial Services, Inc"
"AFSIC","OEM","AmTrust Financial Services, Inc"
"PJUL","BTS","Innovator U.S. Equity Power Buf"
"TYCMY","PNK",NULL
"AFSIA","OEM","AmTrust Financial Services, Inc"
"MU","NMS","Micron Technology, Inc."
"CMU","NYQ","MFS High Yield Municipal Trust"
"AMMCF","PNK","AMUR MINERALS CORP"
"ESRCF","PNK",NULL
"CUZ","NYQ",NULL
"CIZ","NGM",NULL
"CEZ","NGM",NULL
"CTZ","NYQ",NULL
"MMU","NYQ","Western Asset Managed Municipal"
"AVMU","PCX","Avantis Core Municipal Fixed In"
"TMV","PCX","Direxion Daily 20-Year Treasury"
"MAV","NYQ","Pioneer Municipal High Income A"
"KMX","NYQ","CarMax Inc"
"CBDL","PNK",NULL
"MX","NYQ","Magnachip Semiconductor Corpora"
"MAX","NYQ","MediaAlpha, Inc."
"EMX","ASE","EMX Royalty Corporation"
"FMX","NYQ","Fomento Economico Mexicano S.A."
"ARGYF","PNK","AVANTI HELIUM CORP."
"PMX","NYQ","PIMCO Municipal Income Fund III"
"AMXX","OEM","Maxx Sports TV Inc."
"XMX","PCX","WisdomTree Global ex-Mexico Equ"
"NAMX","OEM","NORTH AMERICAN EXPLORATIONS COR"
"BMY","NYQ","Bristol-Myers Squibb Company"
"CBDD","PNK",NULL
"VFMF","BTS",NULL
"HMY","NYQ","Harmony Gold Mining Company Lim"
"UAMY","ASE","United States Antimony Corporat"
"FMY","NYQ","First Trust Motgage Income Fund"
"NMZ","NYQ","Nuveen Municipal High Income Op"
"EMZ",NULL,"Entergy Mississippi, Inc. First"
"BSMO","NGM","Invesco BulletShares 2024 Munic"
"FOVL","PCX",NULL
"ANVS","NYQ","Annovis Bio, Inc."
"NLY","NYQ","Annaly Capital Management Inc."
"AVXL","NMS","Anavex Life Sciences Corp."
"WOOF","NMS","Petco Health and Wellness Compa"
"BSCT","NGM","Invesco BulletShares 2029 Corpo"
"CBRE","NYQ",NULL
"FTSL","NGM",NULL
"LLY","NYQ","Eli Lilly and Company"
"PEJ","PCX","Invesco Leisure and Entertainme"
"TAN","PCX","Invesco Solar ETF"
"ON","NMS","ON Semiconductor Corporation"
"BUD","NYQ","Anheuser-Busch Inbev SA Sponsor"
"YCBD","ASE",NULL
"IGR","NYQ",NULL
"KNG","BTS",NULL
"CBFV","NGM",NULL
"KLIC","NMS","Kulicke and Soffa Industries, I"
"YPF","NYQ","YPF Sociedad Anonima"
"SAN","NYQ","Banco Santander, S.A. Sponsored"
"BDX","NYQ","Becton, Dickinson and Company"
"AVNT","NYQ","Avient Corporation"
"NOG","NYQ","Northern Oil and Gas, Inc."
"GAN","NCM","GAN Limited"
"PFF","NGM","iShares Preferred and Income Se"
"HMNY","OEM","HELIOS & MATHESON ANALYTICS INC"
"GLPI","NMS","Gaming and Leisure Properties, "
"PUTW","PCX",NULL
"IGLD","BTS",NULL
"IAUF","BTS",NULL
"UAN","NYQ","CVR Partners, LP"
"ANDE","NMS","The Andersons, Inc."
"DAN","NYQ","Dana Incorporated"
"WRN","ASE","Western Copper and Gold Corpora"
"CBSC","PNK",NULL
"DMAR","BTS",NULL
"DJAN","BTS",NULL
"YCBD-PA","ASE",NULL
"DFEB","BTS",NULL
"BGLD","BTS",NULL
"IHAK","PCX","iShares Cybersecurity and Tech "
"ANSS","NMS","ANSYS, Inc."
"IDRV","PCX","iShares Self-Driving EV and Tec"
"ELAN","NYQ","Elanco Animal Health Incorporat"
"ANGI","NMS","Angi Inc."
"DJUN","BTS",NULL
"CBHC","OEM",NULL
"DAUG","BTS",NULL
"PIFFY","PNK",NULL
"DMAY","BTS",NULL
"ANIX","NCM","Anixa Biosciences, Inc."
"BSTZ","NYQ","BlackRock Science and Technolog"
"VRSK","NMS","Verisk Analytics, Inc."
"ESPO","NGM","VanEck Video Gaming and eSports"
"TDS","NYQ","Telephone and Data Systems, Inc"
"DDEC","BTS",NULL
"DOCT","BTS",NULL
"DNOV","BTS",NULL
"DJUL","BTS",NULL
"YMAR","BTS",NULL
"FAN","PCX","First Trust Global Wind Energy "
"FTAI","NMS","FTAI Aviation Ltd."
"SPCX","NGM","SPAC and New Issue ETF"
"EMQQ","PCX","EMQQ The Emerging Markets Inter"
"REZ","PCX","iShares Residential and Multise"
"ANGL","NGM","VanEck Fallen Angel High Yield "
"DSEP","BTS",NULL
"YDEC","BTS",NULL
"CBBLF","PNK",NULL
"KCCB","PCX",NULL
"SVOL","PCX",NULL
"ANIP","NGM","ANI Pharmaceuticals, Inc."
"IPA","NCM","ImmunoPrecise Antibodies Ltd."
"ANAB","NMS","AnaptysBio, Inc."
"IRBO","PCX","iShares Robotics and Artificial"
"AEHL","NCM","Antelope Enterprise Holdings Li"
"CCDBF","PNK",NULL
"TIXT","NYQ",NULL
"ISSC","NMS","Innovative Solutions and Suppor"
"ATEX","NCM","Anterix Inc."
"ANIK","NMS","Anika Therapeutics Inc."
"FN","NYQ","Fabrinet"
"KN","NYQ","Knowles Corporation"
"OTGLF","PNK",NULL
"RPG","PCX",NULL
"GOAU","PCX","US Global GO Gold and Precious "
"BMMJ","OEM","Body and Mind Inc."
"ANGO","NMS","AngioDynamics, Inc."
"FALN","NGM","iShares Fallen Angels USD Bond "
"AKO-B","NYQ","Embotelladora Andina S.A."
"SGGTF","OQB",NULL
"SCFFF","OEM",NULL
"ELIXF","PNK",NULL
"IDNA","PCX","iShares Genomics Immunology and"
"PNGAY","PNK","Ping An Insurance (Group) Compa"
"ATBPF","OEM","ANTIBE THERAPEUTICS INC"
"PAHC","NGM","Phibro Animal Health Corporatio"
"ITRN","NMS","Ituran Location and Control Ltd"
"CDIIQ","OEM",NULL
"NLY-PG","NYQ","Annaly Capital Management Inc 6"
"EXMT","PNK","Anything Technologies Media Inc"
"DIVB","BTS","iShares Core Dividend ETF"
"FM","PCX","iShares Frontier and Select EM "
"VXTRF","OQB","VOXTUR ANALYTICS CORP."
"EXETF","PNK",NULL
"CELH","NCM",NULL
"SKT","NYQ",NULL
"XXII","NCM",NULL
"LCTX","ASE",NULL
"PRZFF","OEM","BOUNDARY GOLD AND COPPER MINING"
"AHCHF","PNK","Anhui Conch Cement Co., Ltd."
"ANTH","OEM","ANTHERA PHARMACEUTICALS INC"
"NLY-PF","NYQ","Annaly Capital Management Inc 6"
"ANNX","NMS","Annexon, Inc."
"TLTE","PCX",NULL
"CTA-PB","NYQ","EIDP, Inc. Preferred Stock $4.5"
"ANDI","OEM","UTOPYA WORLDWIDE HOLDINGS INC"
"ANEB","NCM","Anebulo Pharmaceuticals, Inc."
"ANLDF","OQB","Anfield Energy Inc."
"ANGVF","OQB","Angus Gold Inc."
"QEMM","PCX",NULL
"ANDR","OEM","Andrea Electronics Corp."
"NLY-PI","NYQ","Annaly Capital Management Inc 6"
"AHCHY","PNK","Anhui Conch Cement Co., Ltd."
"IEME","BTS","iShares Evolved U.S. Media and "
"LBTI","OEM","LITHIUM AND BORON TECHNOLOGY IN"
"CRNC","NMS",NULL
"CRNT","NMS",NULL
"USRM","OEM",NULL
"CERS","NGM",NULL
"EEMO","PCX",NULL
"EAWD","OQB","Energy and Water Development Co"
"VCLO","PCX","Simplify Volt Cloud and Cyberse"
"VBFC","NCM","Village Bank and Trust Financia"
"QCCUF","OQB","XXIX METAL CORP."
"AKO-A","NYQ","Embotelladora Andina S.A."
"CLLS","NGM",NULL
"PBEE","BTS",NULL
"ANFGF","PNK","Antofagasta plc"
"ALNPY","PNK","ANA Holdings Inc."
"FSHRF","PNK","FEISHANG ANTHRACITE RESOURCES L"
"WINR","OEM","SIMPLICITY ESPORTS AND GAMING C"
"CLDX","NCM",NULL
"TDS-PU","NYQ","Telephone and Data Systems, Inc"
"CABB","OEM","CALIFORNIA BUSINESS BK LOS ANGE"
"ANSLY","PNK","Ansell Ltd."
"CTA-PA","NYQ","EIDP, Inc. Preferred Stock $3.5"
"ANPDY","PNK","Anta Sports Products Ltd."
"CNP","NYQ",NULL
"FUN","NYQ",NULL
"ITCI","NMS",NULL
"CETX","NCM",NULL
"EMSH","BTS",NULL
"ATIXF","PNK","Analytixinsight Inc"
"PANHF","PNK","PING AN HEALTHCARE & TECHNO CO "
"BUDFF","PNK","Anheuser Busch Inbev SA NV"
"AFIF","BTS","Anfield Universal Fixed Income "
"AESR","BTS","Anfield U.S. Equity Sector Rota"
"TDI","NGM","Touchstone Dynamic Internationa"
"CVHIF","OEM","VENTURA CANNABIS AND WELLNESS C"
"ANGCF","PNK","EON LITHIUM CORP"
"AGDXF","OEM","ANTIOQUIA GOLD INC"
"ADFI","BTS","Anfield Dynamic Fixed Income ET"
"CEVA","NMS",NULL
"CNTA","NMS",NULL
"LEU","ASE",NULL
"JHEM","PCX",NULL
"RTLGF","PNK","ST AUGUSTINE GOLD AND COPPER LT"
"AEBZY","PNK","Anadolu Efes Biracilik Ve Malt "
"ANTMF","PNK","ANTILLES GOLD LTD."
"PIAIF","PNK","Ping An Insurance (Group) Compa"
"CYNS","OEM","CYGNUS OIL AND GAS"
"ISEM","NGM",NULL
"INFT","OQB","INFINITY BANCORP"
"ECF-PA","ASE","Ellsworth Growth and Income Fun"
"ANKOF","OQB","Angkor Resources Corp."
"AGGG","OEM","ANTILIA GROUP CORP"
"MBBB","BTS","VanEck Moody's Analytics BBB Co"
"CERT","NMS",NULL
"REG","NMS",NULL
"HAIN","NMS",NULL
"PCEF","PCX",NULL
"SPVU","PCX",NULL
"AGTT","PNK","Angstrom Technologies, Inc."
"ANPCY","OQX","ANGLE SPON ADR EACH REPR 10 ORD"
"TIACF","PNK","TIAN AN CHINA INVESTMENTS CO"
"HKTTF","PNK","Hkt Trust and Hkt Ltd"
"BKU","NYQ","BankUnited, Inc."
"MXTRF","PNK","Montero Mining & Exploration, L"
"ANDC","PNK","Andover Bancorp, Inc."
"IWFH","PCX","iShares Virtual Work and Life M"
"AOVTF","OEM","ANDOVER MINING CORP"
"MIG","BTS","VanEck Moody's Analytics IG Cor"
"CENT","NMS",NULL
"SITC","NYQ",NULL
"CELC","NCM",NULL
"TIGO","NMS",NULL
"FLRG","PCX",NULL
"GLU-PB","ASE","The Gabelli Global Utility and "
"ANTI","OEM","ANTIGENICS INC"
"AGXKF","PNK","Anglo Asian Mining Plc."
"SYUP","OEM","ANBC, INC."
"AAUGF","PNK","AERO ENERGY LTD."
"MCEM","PNK",NULL
"PMMTF","PNK","PRECIOUS METALS AND MINING TRUS"
"ANPDF","PNK","Anta Sports Products Ltd."
"ANSNF","OQB","Anson Resources"
"CENTA","NMS",NULL
"HYEG","PNK",NULL
"ISCO","OQB",NULL
"KO","NYQ","Coca-Cola Company (The)"
"O","NYQ","Realty Income Corporation"
"SO","NYQ","Southern Company (The)"
"VO","PCX","Vanguard Mid-Cap ETF"
"GO","NMS","Grocery Outlet Holding Corp."
"WGLD","PCX",NULL
"DAO","NYQ","Youdao, Inc."
"JO","PCX","iPathA Series B Bloomberg Coffe"
"AOXG","PNK","Aoxing Pharmaceutical Company, "
"AOZOY","PNK","Aozora Bank Ltd."
"AAPL","NMS","Apple Inc."
"BP","NYQ","BP p.l.c."
"APPN","NGM","Appian Corporation"
"VIG","PCX","Vanguard Div Appreciation ETF"
"TAP","NYQ","Molson Coors Beverage Company"
"IP","NYQ","International Paper Company"
"SAIC","NMS","Science Applications Internatio"
"CTARF","PNK",NULL
"CECBF","OEM",NULL
"FATT","NGM",NULL
"HP","NYQ","Helmerich & Payne, Inc."
"APTV","NYQ","Aptiv PLC"
"SAP","NYQ","SAP  SE"
"APRE","NCM","Aprea Therapeutics, Inc."
"MBIN","NCM","Merchants Bancorp"
"JXI","PCX",NULL
"APYP","OQB","APPYEA, Inc."
"GP","NCM","GreenPower Motor Company Inc."
"AAOI","NGM","Applied Optoelectronics, Inc."
"APTO","NCM","Aptose Biosciences, Inc."
"APLE","NYQ","Apple Hospitality REIT, Inc."
"BAP","NYQ","Credicorp Ltd."
"SWRM","PNK","AppSwarm, Inc."
"APLS","NMS","Apellis Pharmaceuticals, Inc."
"GIII","NMS","G-III Apparel Group, LTD."
"APDN","NCM","Applied DNA Sciences, Inc."
"CYLYF","PNK",NULL
"XP","NMS","XP Inc."
"AERG","OQB","Applied Energetics, Inc."
"UATG","PNK","Umbra Applied Technologies Grou"
"APVO","NCM","Aptevo Therapeutics Inc."
"APPF","NGM","AppFolio, Inc."
"APLT","NGM","Applied Therapeutics, Inc."
"APAAF","OQB","APPIA RARE EARTHS & URANIUM COR"
"APYX","NMS","Apyx Medical Corporation"
"BRT","NYQ","BRT Apartments Corp. (MD)"
"EGBN","NCM","Eagle Bancorp, Inc."
"APOG","NMS","Apogee Enterprises, Inc."
"APRU","PNK","Apple Rush Co., Inc."
"FUAPF","PNK","GLOBAL COMPLIANCE APPLICATIONS "
"MTVX","OEM","APT MOTO VOX GROUP INC"
"CIG-C","NYQ",NULL
"CEOS","PNK",NULL
"TCHC","OEM",NULL
"UZF","NYQ",NULL
"CJPRY","PNK",NULL
"BFIT","NGM",NULL
"APLIF","PNK","Appili Therapeutics Inc."
"APLD","NMS","Applied Digital Corporation"
"HAP","PCX","VanEck Natural Resources ETF"
"DRSK","BTS","Aptus Defined Risk ETF"
"APEMY","PNK","Aperam"
"CESDF","PNK",NULL
"CETXP","PNK",NULL
"CCEL","ASE",NULL
"FCEF","NGM",NULL
"GRGG","OEM",NULL
"APO-PA","NYQ","Apollo Global Management, Inc. "
"RYPPF","OEM","RYU APPAREL INC"
"CGAC","PNK","Code Green Apparel Corp."
"VSLU","PCX","Applied Finance Valuation Large"
"APPEF","PNK","APPEN LTD"
"CISO","NCM",NULL
"PCPDF","PNK",NULL
"CGIP","OEM",NULL
"CWIR","OEM",NULL
"APPB","OEM","APPLIED BIOSCIENCES CORP"
"CDPYF","PNK","Canadian Apartment Properties R"
"APLO","PNK","Apollo Bancorp, Inc."
"BDWBF","PNK","BUDWEISER BREWING CO APAC LTD."
"UZE","NYQ",NULL
"CELJF","PNK",NULL
"APQT","OEM","APPLIQATE INC"
"BDWBY","PNK","BUDWEISER BREWING CO APAC LTD."
"APVS","OEM","APPLIED VISUAL SCIENCES INC"
"PXPP","OEM","PHOENIX APPS INC"
"BLVDF","OEM","GLOBALBLOCK DIGITAL ASSET TRD L"
"CLCS","OQB",NULL
"XMPT","BTS",NULL
"CTXXF","OQB",NULL
"MCELQ","OEM",NULL
"DKGR","OEM","UNIVERSAL APPAREL & TEXTILE CO"
"KMMPF","PNK","Killiam Apt Real Estate Invt Tr"
"APGOF","OQB","Apollo Silver Corp."
"PSMR","BTS","Pacer Swan SOS Moderate (April)"
"IOBCF","PNK","Ion Beam Applications S.A."
"OTTEF","PNK",NULL
"TRUA","OEM","TRIUMPH APPAREL COMPANY"
"ALDS","OQB","AppLife Digital Solutions, Inc."
"APAJF","PNK","APA Group Stapled Security"
"PSFM","BTS","Pacer Swan SOS Flex (April) ETF"
"FSBC","NMS","Five Star Bancorp"
"NUSA","PCX",NULL
"SAEYY","PNK","Redcare Pharmacy NV"
"IQ","NMS","iQIYI, Inc."
"DQ","NYQ","DAQO New Energy Corp."
"YQ","NMS","17 Education & Technology Group"
"CPWHF","PNK",NULL
"CDR-PC","NYQ",NULL
"PVNNF","PNK",NULL
"UZD","NYQ",NULL
"DSPC","NGM",NULL
"AQST","NGM","Aquestive Therapeutics, Inc."
"EQ","NCM","Equillium, Inc."
"BQ","ASE","Boqii Holding Limited"
"AQUEF","OEM","AQUARIUS ENGINES (A.M) LTD"
"APSI","PNK","Aqua Power Systems Inc."
"CCOB","OEM",NULL
"PFND","OEM",NULL
"AQUI","OEM","AQUAGOLD INTERNATIONAL INC"
"ARKK","PCX","ARK Innovation ETF"
"ARWR","NMS","Arrowhead Pharmaceuticals, Inc."
"AITX","PNK","Artificial Intelligence Technol"
"ARKG","BTS","ARK Genomic Revolution ETF"
"KR","NYQ","Kroger Company (The)"
"ARRY","NGM","Array Technologies, Inc."
"ARKF","PCX","ARK Fintech Innovation ETF"
"ARKW","PCX","ARK Next Generation Internet ET"
"NEXCF","OQB","NexTech3D.AI Corp."
"ARKX","BTS","ARK Space Exploration & Innovat"
"ARKQ","BTS","ARK Autonomous Technology & Rob"
"CYFL","PNK",NULL
"ABUS","NMS","Arbutus Biopharma Corporation"
"ANET","NYQ","Arista Networks, Inc."
"ARDX","NGM","Ardelyx, Inc."
"ARBKF","PNK","Argo Blockchain Plc"
"TR","NYQ","Tootsie Roll Industries, Inc."
"CPYYY","PNK",NULL
"CLLNY","PNK",NULL
"ARSMF","OQX","Ares Strategic Mining Inc"
"BOTZ","NGM","Global X Robotics & Artificial "
"HASI","NYQ","HA Sustainable Infrastructure C"
"NOBL","BTS","ProShares S&P 500 Dividend Aris"
"RKDA","NCM","Arcadia Biosciences, Inc."
"ONVC","OQX",NULL
"CPYYF","PNK",NULL
"DAR","NYQ","Darling Ingredients Inc."
"SAPX","PNK","Seven Arts Entertainment, Inc."
"BBAR","NYQ","Banco BBVA Argentina S.A."
"APAM","NYQ","Artisan Partners Asset Manageme"
"IR","NYQ","Ingersoll Rand Inc."
"MCEF","NGM",NULL
"R","NYQ","Ryder System, Inc."
"ARLO","NYQ","Arlo Technologies, Inc."
"ARTL","NCM","Artelo Biosciences, Inc."
"BBVA","NYQ","Banco Bilbao Vizcaya Argentaria"
"RCUS","NYQ","Arcus Biosciences, Inc."
"SKYI","PNK",NULL
"LVCLF","PNK",NULL
"CARCY","PNK",NULL
"OR","NYQ","Osisko Gold Royalties Ltd"
"TEO","NYQ","Telecom Argentina SA"
"PAR","NYQ","PAR Technology Corporation"
"KAR","NYQ","OPENLANE, Inc."
"ARES","NYQ","Ares Management Corporation"
"CTNR","OEM",NULL
"CVE-WT","NYQ",NULL
"BR","NYQ","Broadridge Financial Solutions,"
"IZRL","BTS","ARK Israel Innovative Technolog"
"ARVN","NMS","Arvinas, Inc."
"AROC","NYQ","Archrock, Inc."
"SR","NYQ","Spire Inc."
"CDR-PB","NYQ",NULL
"CXMSF","PNK",NULL
"BFS-PD","NYQ",NULL
"ARQT","NMS","Arcutis Biotherapeutics, Inc."
"ARTH","PNK","Arch Therapeutics, Inc."
"BAR","PCX","GraniteShares Gold Trust Shares"
"SAR","NYQ","Saratoga Investment Corp New"
"ARGX","NMS","argenx SE"
"CEVE","OEM",NULL
"NHMAF","PNK",NULL
"GPPRF","OQB",NULL
"THYCY","PNK",NULL
"MMIN","PCX",NULL
"FR","NYQ","First Industrial Realty Trust, "
"HR","NYQ","Healthcare Realty Trust Incorpo"
"GRES","PCX","IQ ARB Global Resources ETF"
"ARKO","NCM","ARKO Corp."
"UBOT","PCX","Direxion Daily Robotics, Artifi"
"BIBL","PCX",NULL
"ARTW","NCM","Art's-Way Manufacturing Co., In"
"GAHC","OEM","Global Arena Holding, Inc."
"ARTNA","NMS","Artesian Resources Corporation"
"AZMCF","OQX","Arizona Metals Corp."
"ARHVF","PNK","ARCHER LTD"
"SNLN","NGM",NULL
"ARDS","OEM","Aridis Pharmaceuticals Inc."
"AROW","NMS","Arrow Financial Corporation"
"GYLD","NYQ","Arrow Dow Jones Global Yield ET"
"RPMT","OQB","Rego Payment Architectures, Inc"
"ROBT","NGM","First Trust Nasdaq Artificial I"
"THNQ","PCX","ROBO Global Artificial Intellig"
"BFS-PE","NYQ",NULL
"CRJI","OEM",NULL
"CTUY","OQX",NULL
"FDMO","PCX",NULL
"APPZ","OEM","MONSTER ARTS INC"
"ARKR","NGM","Ark Restaurants Corp."
"ARYC","OEM","ARRAYIT CORP"
"JADA","PNK","Jade Art Group, Inc."
"AESO","PNK","Atlantic Energy Solutions, Inc."
"FTXN","NGM",NULL
"ARAFF","PNK","Arafura Resources NL"
"AMSYF","PNK","ArcelorMittal"
"DWCR","BTS","Arrow Investments Trust Arrow D"
"ARGT","PCX","Global X MSCI Argentina ETF"
"GARWF","OQB","Golden Arrow Resource Corp."
"CTVEF","PNK",NULL
"CESX","OEM",NULL
"SPEU","PCX",NULL
"ARGTF","PNK","Artemis Gold Inc."
"ARRXF","PNK","Archer Materials Ltd."
"AETUF","PNK","Arc Resources Ltd."
"DRRSF","OQX","Arianne Phosphate Inc"
"MNA","PCX","NYLI Merger Arbitrage ETF"
"CLTY","OEM",NULL
"UGLDF","PNK",NULL
"NAZ","NYQ","Nuveen Arizona Quality Municipa"
"ARTTF","PNK","Artemis Resources Ltd West Pert"
"ARKAY","PNK","Arkema"
"ARR-PC","NYQ","ARMOUR Residential REIT, Inc. 7"
"ASTO","PNK","ASTRO COMMUNICATIONS INC"
"EIPAF","PNK",NULL
"ARRRF","PNK","Ardea Res Ltd."
"ALIF","OEM","ARTIFICIAL LIFE INC"
"YPS","BTS","Arrow Reverse Cap 500 ETF"
"ACHFF","OQB","Arch Biopartners Inc."
"RSP","PCX","Invesco S&P 500 Equal Weight ET"
"CJRCF","PNK",NULL
"CLNXF","PNK",NULL
"CTTZF","OQX",NULL
"ARTLW","NCM","Artelo Biosciences, Inc."
"AREVF","OEM","AREV LIFE SCIENCES GLOBAL CORP"
"AZASF","OQB","Arizona Gold & Silver Inc."
"ARYX","OEM","ARYX THERAPEUTICS INC"
"ARESF","OQX","Artis Real Estate Investment Tr"
"CRLKP","OEM",NULL
"ATZAF","PNK","Aritzia Inc."
"ARLUF","PNK","Aristocrat Leisure Ltd."
"SURRY","PNK","Sun Art Retail Group Ltd."
"ACGLO","NMS","Arch Capital Group Ltd. - Depos"
"ARET","OEM","ARETE INDUSTRIES INC"
"CNRAF","PNK",NULL
"CNFN","OQB",NULL
"SZNE","PCX",NULL
"ETAR","OEM","ENTERTAINMENT ARTS INC"
"EARI","PNK","Entertainment Arts Research, In"
"AAMTF","PNK","Armada Mercantile Ltd."
"SURRF","PNK","SUN ART RETAIL GROUP LIMITED"
"ARCVF","PNK","Arcadis NV"
"GIB","NYQ",NULL
"SJRNF","PNK","Arcwest Expl Inc."
"ARKOW","NCM","ARKO Corp."
"RKOS","OEM","Arkose Energy Corp."
"ARGD","NYQ","Argo Group International Holdin"
"ARGQ","PNK","Argentum 47, Inc."
"CGEI","OEM",NULL
"CGXEF","PNK",NULL
"DWAT","BTS","Arrow Investments Trust Arrow D"
"CLGDF","PNK","ARIS MINING CORPORATION"
"ARCAY","PNK","ARCADIS NV ADR EA REP 1 ORD EUR"
"ASDZF","PNK","Arctic Star Exploration Corp."
"ARWD","OEM","ARROW RESOURCES DEVELOPMENT INC"
"CCGM","OEM",NULL
"JPM","NYQ",NULL
"SCHW","NYQ",NULL
"CWBHF","OQX",NULL
"MARB","PCX","First Trust Merger Arbitrage ET"
"ARAT","OEM","Arax Holdings Corp."
"ARGO-PA","NYQ","Argo Group International Holdin"
"HGHAF","PNK","High Arctic Energy Services., I"
"CSTPF","PNK","Arrow Expl Corp."
"CHTR","NMS",NULL
"SCHA","PCX",NULL
"GTLS","NYQ",NULL
"ARBTF","PNK","Argo Gold Inc"
"AIGI","OEM","ARTISTMSS INTL GROUP INC"
"FLSA","PCX","Franklin FTSE Saudi Arabia ETF"
"CNRFF","OEM","Consorcio Ara S.A. de C.V."
"ARGL","OEM","ARGYLE SECURITY INC"
"ROUS","PCX",NULL
"ACKAY","PNK","Arcelik  A.S."
"AHNMF","PNK","ARCHON MINERALS"
"ARNI","OEM","ARNO THERAPEUTICS INC"
"ARDNF","PNK","ARGENT MINERALS LIMITED"
"ARYMF","PNK","Argosy Minerals Limited"
"CHUC","OQB",NULL
"CTHR","NCM",NULL
"ASPW","OEM","ARISTA POWER INC"
"VR","NGM","Global X Metaverse ETF"
"GNHRF","OEM","ARIAN RES CORP NEW"
"AHH-PA","NYQ","Armada Hoffler Properties, Inc."
"EMBVF","PNK","Arca Continental SAB de CV"
"SKY","NYQ",NULL
"CLDT","NYQ",NULL
"EVUS","BTS",NULL
"JPM-PL","NYQ",NULL
"AANNF","PNK","Aroundtown SA"
"ARTNB","OQB","Artesian Resources Corp."
"IGPYF","PNK","ARGOSY PROPERTY LTD"
"ARLLF","PNK","ARGAN"
"DSP","NMS","Viant Technology Inc."
"JPM-PC","NYQ",NULL
"MAQAF","PNK","Atlas Arteria Ltd."
"MTRT","PNK","Metal Arts Company, Inc."
"ASAN","NYQ","Asana, Inc."
"JPM-PK","NYQ",NULL
"CSBR","NCM",NULL
"SCBFF","PNK",NULL
"JPM-PD","NYQ",NULL
"USA","NYQ","Liberty All-Star Equity Fund"
"PSA","NYQ","Public Storage"
"EQNR","NYQ","Equinor ASA"
"NLLSF","PNK","Nel ASA"
"CHKKF","OQB",NULL
"JPM-PJ","NYQ",NULL
"CGMLF","PNK",NULL
"CIAFF","OQX",NULL
"MFDX","PCX",NULL
"BASA","OQB","Basanite Inc."
"NHYDY","OQX","Norsk Hydro ASA"
"AASZF","OQB","Atlantic Sapphire ASA"
"MSA","NYQ","MSA Safety Incorporated"
"KSA","PCX","iShares Trust iShares MSCI Saud"
"SCHW-PD","NYQ",NULL
"CHGX","PCX",NULL
"CLRG","NGM",NULL
"YARIY","PNK","Yara International ASA"
"TELNY","OQX","Telenor ASA"
"ASEA","PCX","Global X FTSE Southeast Asia ET"
"AHKSY","PNK","Asahi Kaisei Corp."
"RNWEF","PNK","REC SILICON ASA"
"CSML","NGM",NULL
"WHLT","PNK",NULL
"SQCC","OEM",NULL
"FPXE","NGM",NULL
"GJNSY","PNK","Gjensidige Forsikring Asa"
"TMRAY","PNK","Tomra Systems A/S/A"
"HXGCF","PNK","Hexagon Composites ASA"
"KGAUF","PNK","KONGSBERG AUTOMOTIVE ASA"
"RNWEY","PNK","REC SILICON ASA"
"RNSC","NGM",NULL
"TELNF","OQX","Telenor ASA"
"AHKSF","PNK","Asahi Kaisei Corp."
"MPZZF","PNK","MPC Container Ships AS"
"ORKLY","PNK","Orkla ASA"
"SSP","NMS","E.W. Scripps Company (The)"
"OVF","BTS",NULL
"ASGOF","PNK","Asante Gold Corp"
"QNTFF","OEM","QUANTAFUEL AS"
"CSA","NGM","VictoryShares US Small Cap Vola"
"STOHF","PNK","Equinor ASA"
"THDDY","PNK","TV Asahi Holdings Corp."
"RNMC","NGM",NULL
"TECFF","OEM","TECO 2030 ASA"
"ELKEF","PNK","Elkem ASA"
"TMRAF","PNK","Tomra Systems A/S/A"
"ASAV","OEM","ASI AVIATION INC"
"AVSA","PNK","AVISANA CORPORATION"
"OPESF","PNK","OTELLO CORPORATION ASA"
"NHYKF","OQX","NORSK HYDRO ASA"
"ORKLF","PNK","ORKLA ASA"
"USB","NYQ","U.S. Bancorp"
"MSB","NYQ","Mesabi Trust"
"SSB","NYQ","SouthState Corporation"
"SCBFY","PNK",NULL
"SCHW-PJ","NYQ",NULL
"CWSRF","PNK",NULL
"CSB","NGM","VictoryShares US Small Cap High"
"NASB","OQX","NASB FINANCIAL INC"
"ASTI","NCM","Ascent Solar Technologies, Inc"
"NSC","NYQ","Norfolk Southern Corporation"
"ASTC","NCM","Astrotech Corporation"
"OEPWU","NCM",NULL
"ASND","NMS","Ascendis Pharma A/S"
"WSC","NCM","WillScot Holdings Corporation"
"AOTVF","OQX","Ascot Resources Ltd."
"MSC","NYQ","Studio City International Holdi"
"PSC","NGM","Principal U.S. Small-Cap ETF"
"OIGLF","PNK",NULL
"GSC","PCX","Goldman Sachs ETF Trust Goldman"
"ACNDF","PNK","Ascendas India Trust"
"ACDSF","PNK","Ascendas Real Estate Investment"
"ASDRF","OQB","Ascendant Resources Inc."
"XSD","PCX","SPDR S&P Semiconductor ETF"
"USD","PCX","ProShares Ultra Semiconductors"
"MCHA","OEM",NULL
"RNLC","NGM",NULL
"SSD","NYQ","Simpson Manufacturing Company, "
"ISD","NYQ","PGIM Short Duration High Yield "
