"symbol","exchange","shortname"
"AEB","NYQ","AEGON N.V. Perp. Cap. Secs. Flo"
"NRDBY","OQX","Nordea Bank Abp"
"QABA","NGM","First Trust NASDAQ ABA Communit"
"EIDO","PCX",NULL
"FAB","NGM","First Trust Multi Cap Value Alp"
"RJZ","PCX","AB Svensk Ekportkredit (Swedish"
"ALFVY","PNK","Alfa-Laval AB"
"ATLKY","PNK","Atlas Copco AB"
"ACP-PA","NYQ","abrdn Income Credit Strategies "
"ABVC","NCM","ABVC Biopharma, Inc."
"WLFC","NGM",NULL
"GNGBY","PNK","Getinge AB"
"IVSBF","PNK","Investors AB"
"ATLCY","PNK","Atlas Copco AB"
"ASAZY","PNK","Assa Abloy AB"
"CLLKF","PNK","BICO GROUP AB"
"VSDA","NGM","VictoryShares Dividend Accelera"
"MWWC","PNK",NULL
"SNSR","NGM",NULL
"PCELF","OEM","POWERCELL SWEDEN AB"
"ABLE","PNK","ABLE ENERGY INC"
"SKFRY","PNK","AB SKF"
"STLFF","PNK","STILLFRONT GROUP AB"
"SWDBY","PNK","Swedbank AB"
"TZPC","PNK",NULL
"THQQF","PNK","Embracer Group AB"
"NDRBF","PNK","Nibe Industrier AB"
"ABSCF","OEM","AB SCIENCE"
"BDNNY","PNK","Boliden AB"
"ABCZF","PNK","ABCAM PLC"
"GSST","BTS","Goldman Sachs Ultra Short Bond "
"HXGBF","PNK","Hexagon AB"
"PRXXF","PNK","Paradox Interactive AB"
"CMMCF","OEM","OXE MARINE AB"
"SVNLY","PNK","Svenska Handelsbanken AB PUBL"
"ABMBF","OQB","Abcourt Mines Inc."
"SPHQ","PCX",NULL
"NEVPF","OEM","ABLIVA AB"
"SLFPF","PNK","ABRDN PLC"
"JBK","NYQ","Lehman ABS 3.50 3.50% Adjustabl"
"SKBSY","PNK","Skanska AB"
"WBIT","PCX","Absolute Shares Trust WBI BullB"
"QTAP","BTS","Innovator Growth Accelerated Pl"
"EVGGF","PNK","Evolution AB"
"AGRPY","PNK","Absa Group Ltd."
"WRTBY","PNK","Wartsila Corp."
"EPOKY","PNK","Epiroc Aktiebolag"
